Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
HSR Layout 2413,12.911727,77.686031,2,29,Residential,Low,Poor,Low,4.5,Low,Park,6.1,Rare,Robbery
BTM Layout 2414,12.876504,77.670918,4,19,Commercial,Moderate,Good,High,0.7,Low,None,5.2,Occasional,Robbery
MG Road 2415,12.910177,77.668733,4,24,Mixed-use,Moderate,Moderate,Low,2.6,Low,None,9.9,Frequent,Vandalism
HSR Layout 2416,12.965956,77.584083,5,18,Residential,Low,Moderate,High,0.9,Moderate,Park,2.0,Rare,Assault
Jayanagar 4th Block 2417,12.854012,77.532111,4,8,Industrial,Low,Good,High,5.0,Low,Park,3.7,Occasional,Harassment
Koramangala 1st Block 2418,12.886368,77.676019,1,30,Residential,High,Moderate,Low,4.8,Moderate,None,1.7,Rare,Vandalism
Jayanagar 4th Block 2419,12.860442,77.58383,1,17,Industrial,Moderate,Good,Low,1.8,Low,Mall,4.3,Occasional,Harassment
Whitefield Main Road 2420,12.951779,77.659405,5,29,Residential,Low,Good,High,3.2,Low,Market,5.7,Frequent,Harassment
Church Street 2421,12.987644,77.679376,5,14,Industrial,Low,Good,High,4.0,High,Playground,4.0,Frequent,Theft
MG Road 2422,12.936326,77.507597,1,9,Commercial,Moderate,Moderate,Medium,3.1,Low,Mall,9.1,Occasional,Robbery
Whitefield Main Road 2423,12.963637,77.522109,3,35,Commercial,High,Good,High,4.1,High,Market,5.6,Occasional,Theft
Brigade Road 2424,12.894111,77.685389,1,7,Residential,Moderate,Good,Medium,4.1,Low,Market,7.5,Frequent,Robbery
Indiranagar 100 Feet Road 2425,12.855438,77.670256,3,7,Residential,High,Poor,High,0.7,Low,Mall,1.7,Rare,Assault
Indiranagar 100 Feet Road 2426,12.850592,77.503856,5,32,Residential,High,Good,High,3.1,Low,Market,4.2,Rare,Assault
Bannerghatta Road 2427,12.89543,77.591154,5,19,Residential,High,Moderate,Low,3.9,Low,Mall,8.8,Frequent,Vandalism
HSR Layout 2428,12.939438,77.51236,1,24,Residential,Low,Poor,Medium,3.4,High,None,4.1,Rare,Theft
Bannerghatta Road 2429,12.925471,77.54882,1,48,Commercial,High,Good,High,1.6,Moderate,Playground,9.9,Rare,Theft
Koramangala 1st Block 2430,12.872429,77.571116,5,37,Industrial,Moderate,Moderate,Low,3.5,Low,Park,8.9,Frequent,Vandalism
Brigade Road 2431,12.898381,77.651201,1,23,Residential,Moderate,Moderate,Medium,4.8,Low,Market,9.4,Occasional,Robbery
Indiranagar 100 Feet Road 2432,12.98571,77.630052,1,4,Commercial,High,Moderate,Medium,2.2,Low,Mall,4.4,Occasional,Theft
Church Street 2433,12.927249,77.591645,5,38,Residential,Moderate,Poor,High,2.8,High,None,1.9,Occasional,Theft
HSR Layout 2434,12.98573,77.65008,1,17,Residential,Moderate,Moderate,High,4.4,High,Playground,7.2,Occasional,Assault
BTM Layout 2435,12.965782,77.697445,1,18,Industrial,High,Moderate,High,4.2,High,None,7.9,Rare,Harassment
Bannerghatta Road 2436,12.856507,77.506126,5,35,Residential,Moderate,Moderate,Medium,1.2,Low,Mall,6.2,Rare,Robbery
Bannerghatta Road 2437,12.999439,77.54374,3,16,Residential,High,Poor,Medium,0.7,Moderate,Mall,3.4,Occasional,Robbery
Commercial Street 2438,12.967989,77.508294,3,48,Industrial,High,Poor,Medium,1.4,Low,Playground,6.2,Rare,Theft
Church Street 2439,12.960404,77.555081,2,26,Mixed-use,High,Moderate,High,2.6,Moderate,None,2.5,Frequent,Assault
Whitefield Main Road 2440,12.96157,77.629202,4,9,Commercial,Moderate,Good,High,4.1,High,Park,5.6,Frequent,Vandalism
Indiranagar 100 Feet Road 2441,12.855695,77.631466,2,28,Commercial,Low,Good,Medium,2.1,High,Playground,1.4,Frequent,Harassment
Commercial Street 2442,12.860912,77.650654,1,7,Residential,Low,Good,Low,3.0,Low,None,2.6,Rare,Vandalism
HSR Layout 2443,12.928317,77.671212,2,29,Residential,Moderate,Poor,High,2.9,Low,Park,3.2,Occasional,Theft
Church Street 2444,12.919885,77.685075,3,10,Residential,Moderate,Poor,High,4.4,High,None,3.1,Occasional,Theft
Commercial Street 2445,12.861933,77.618841,3,15,Industrial,Low,Moderate,Low,1.7,High,Market,5.1,Rare,Theft
Koramangala 1st Block 2446,12.855327,77.52374,2,42,Industrial,High,Poor,High,1.2,High,None,4.1,Rare,Assault
Church Street 2447,12.903909,77.699449,1,41,Residential,Moderate,Good,High,0.9,High,Market,9.6,Rare,Harassment
Indiranagar 100 Feet Road 2448,12.901545,77.573587,1,9,Commercial,Moderate,Poor,Medium,1.7,Moderate,None,9.0,Frequent,Robbery
Indiranagar 100 Feet Road 2449,12.896995,77.614914,2,23,Mixed-use,Low,Good,Medium,1.5,High,Park,9.9,Frequent,Harassment
Indiranagar 100 Feet Road 2450,12.915074,77.654427,2,21,Residential,High,Moderate,High,2.6,Low,Park,5.6,Occasional,Harassment
Jayanagar 4th Block 2451,12.862928,77.575951,3,49,Industrial,Moderate,Moderate,Low,1.9,Low,None,6.9,Occasional,Robbery
Church Street 2452,12.961389,77.573985,1,32,Commercial,Low,Good,High,0.7,Moderate,Market,1.5,Rare,Theft
Indiranagar 100 Feet Road 2453,12.929334,77.625482,1,24,Residential,High,Good,Low,4.1,Moderate,Playground,8.9,Rare,Vandalism
Koramangala 1st Block 2454,12.919956,77.543372,1,18,Commercial,Moderate,Moderate,Low,2.8,High,Mall,4.8,Occasional,Assault
HSR Layout 2455,12.958085,77.507605,5,33,Industrial,Moderate,Poor,Low,3.7,High,Market,8.8,Occasional,Robbery
BTM Layout 2456,12.919632,77.598706,1,26,Mixed-use,Low,Moderate,High,2.0,High,Playground,1.4,Occasional,Vandalism
Indiranagar 100 Feet Road 2457,12.963713,77.59903,2,45,Commercial,High,Moderate,Medium,3.3,Moderate,Mall,2.7,Rare,Theft
Indiranagar 100 Feet Road 2458,12.90819,77.532985,4,33,Commercial,High,Poor,Medium,2.6,High,Market,1.9,Frequent,Assault
BTM Layout 2459,12.996988,77.632387,1,39,Mixed-use,Moderate,Moderate,Low,1.4,High,Mall,1.0,Occasional,Assault
HSR Layout 2460,12.853025,77.512062,1,14,Industrial,Low,Moderate,Medium,3.9,Moderate,Playground,7.5,Occasional,Assault
MG Road 2461,12.917234,77.669674,5,46,Commercial,Low,Moderate,Medium,2.5,High,None,3.7,Frequent,Theft
Koramangala 1st Block 2462,12.923913,77.666058,4,42,Industrial,High,Poor,Medium,3.1,High,Park,9.4,Rare,Vandalism
Church Street 2463,12.898251,77.661216,5,36,Commercial,Low,Moderate,Low,0.7,Low,Playground,5.7,Frequent,Harassment
Jayanagar 4th Block 2464,12.863891,77.644618,4,6,Industrial,Moderate,Moderate,Medium,1.1,Moderate,Park,5.4,Frequent,Assault
MG Road 2465,12.951989,77.640086,1,35,Mixed-use,High,Poor,Low,1.0,High,Mall,4.9,Rare,Harassment
HSR Layout 2466,12.895911,77.582556,4,5,Industrial,Low,Moderate,Low,2.0,Low,Mall,5.9,Occasional,Theft
MG Road 2467,12.857635,77.594892,5,3,Residential,High,Moderate,Low,3.0,Low,Playground,4.3,Rare,Theft
MG Road 2468,12.892484,77.670969,3,40,Industrial,High,Poor,Medium,1.7,Low,Market,2.6,Rare,Assault
Commercial Street 2469,12.993654,77.500818,3,31,Residential,High,Good,Medium,2.6,High,Market,4.2,Occasional,Harassment
Church Street 2470,12.909316,77.627302,4,34,Industrial,Moderate,Good,Medium,4.4,High,Market,2.5,Rare,Theft
Commercial Street 2471,12.891068,77.662338,2,46,Commercial,High,Poor,High,3.6,Low,Playground,2.9,Occasional,Harassment
Bannerghatta Road 2472,12.932182,77.686567,1,11,Industrial,Moderate,Poor,Medium,3.6,Low,Market,3.3,Frequent,Harassment
Church Street 2473,12.963756,77.673349,3,3,Residential,Low,Poor,Low,4.3,Moderate,Playground,8.5,Frequent,Robbery
Commercial Street 2474,12.951642,77.596616,3,0,Residential,High,Good,Medium,2.3,Moderate,None,4.6,Frequent,Harassment
Jayanagar 4th Block 2475,12.996149,77.552561,1,22,Residential,Low,Poor,High,3.3,Low,Market,7.5,Rare,Harassment
Whitefield Main Road 2476,12.897443,77.630153,4,41,Mixed-use,Moderate,Poor,Medium,3.3,High,None,1.9,Occasional,Harassment
Koramangala 1st Block 2477,12.945906,77.514183,1,11,Industrial,Low,Poor,High,2.7,High,None,8.4,Frequent,Harassment
Commercial Street 2478,12.97182,77.604493,4,42,Commercial,Moderate,Moderate,Medium,4.2,Moderate,Market,9.9,Occasional,Harassment
Commercial Street 2479,12.901364,77.5264,5,9,Industrial,Moderate,Good,High,3.4,High,None,9.6,Frequent,Harassment
Brigade Road 2480,12.896768,77.661037,2,23,Mixed-use,Low,Good,High,3.6,Moderate,Park,2.9,Rare,Robbery
Jayanagar 4th Block 2481,12.971331,77.623199,4,28,Industrial,Low,Moderate,Medium,2.0,Low,Mall,5.9,Occasional,Theft
Jayanagar 4th Block 2482,12.876892,77.597117,5,5,Mixed-use,Low,Moderate,Low,2.2,Low,Market,2.3,Frequent,Assault
Indiranagar 100 Feet Road 2483,12.908301,77.616031,1,24,Mixed-use,Low,Moderate,Low,1.2,High,Mall,7.4,Occasional,Vandalism
HSR Layout 2484,12.960383,77.579956,3,33,Industrial,High,Moderate,Low,3.0,Low,Market,7.5,Occasional,Robbery
Jayanagar 4th Block 2485,12.966407,77.638636,4,34,Residential,High,Moderate,Low,1.7,Low,Mall,3.2,Frequent,Harassment
Brigade Road 2486,12.875965,77.542111,4,15,Mixed-use,High,Moderate,Low,3.7,Low,Market,9.0,Rare,Assault
Commercial Street 2487,12.890262,77.636643,4,35,Mixed-use,Low,Poor,Medium,4.0,Moderate,None,1.0,Frequent,Robbery
MG Road 2488,12.933393,77.629704,4,35,Residential,Low,Moderate,High,4.1,Moderate,Mall,5.5,Occasional,Assault
Commercial Street 2489,12.866735,77.639544,4,30,Industrial,High,Moderate,High,4.9,High,Playground,7.9,Frequent,Theft
Koramangala 1st Block 2490,12.862986,77.687374,4,44,Mixed-use,Low,Moderate,High,2.1,Moderate,Playground,9.7,Rare,Assault
Jayanagar 4th Block 2491,12.917485,77.698636,1,1,Industrial,High,Poor,Low,1.4,High,Park,2.4,Frequent,Vandalism
Jayanagar 4th Block 2492,12.983464,77.660286,4,28,Residential,High,Moderate,Medium,0.7,Low,Market,3.8,Rare,Assault
Commercial Street 2493,12.928969,77.53288,2,10,Residential,High,Good,High,3.1,Moderate,Market,1.2,Occasional,Robbery
Brigade Road 2494,12.992138,77.642839,4,38,Residential,Moderate,Poor,Medium,3.6,Moderate,Park,3.9,Rare,Assault
MG Road 2495,12.979043,77.666769,3,1,Commercial,Low,Good,Medium,2.3,Low,Market,2.1,Rare,Robbery
Koramangala 1st Block 2496,12.889771,77.553578,2,33,Residential,Moderate,Good,Medium,1.1,High,Market,7.0,Occasional,Harassment
MG Road 2497,12.953804,77.555072,5,35,Residential,Low,Poor,High,4.4,Low,None,2.8,Frequent,Theft
HSR Layout 2498,12.959052,77.549772,5,9,Residential,Moderate,Moderate,Medium,1.8,Moderate,Playground,3.0,Frequent,Vandalism
Jayanagar 4th Block 2499,12.941808,77.673562,2,37,Industrial,Moderate,Poor,Low,4.1,Low,Park,3.7,Rare,Robbery
Jayanagar 4th Block 2500,12.890619,77.553191,1,3,Mixed-use,Low,Good,Low,2.9,Moderate,None,6.0,Rare,Assault
Whitefield Main Road 2501,12.923096,77.525432,4,23,Commercial,Moderate,Good,High,1.5,Moderate,None,1.8,Occasional,Robbery
Jayanagar 4th Block 2502,12.956072,77.518877,3,50,Mixed-use,Moderate,Poor,High,2.0,Low,Playground,8.3,Frequent,Assault
Koramangala 1st Block 2503,12.884639,77.67664,5,44,Residential,Low,Poor,Medium,4.5,Low,Playground,1.8,Occasional,Vandalism
Koramangala 1st Block 2504,12.855392,77.659416,3,11,Industrial,Low,Poor,Medium,4.0,Low,Park,4.4,Frequent,Theft
Whitefield Main Road 2505,12.964438,77.693575,5,35,Industrial,High,Good,Low,2.4,Moderate,None,3.1,Rare,Robbery
HSR Layout 2506,12.906328,77.551186,5,3,Mixed-use,High,Poor,Medium,4.3,High,Mall,9.4,Rare,Harassment
BTM Layout 2507,12.850853,77.590229,3,27,Mixed-use,Low,Good,High,2.1,Low,Market,7.6,Rare,Vandalism
MG Road 2508,12.918951,77.67824,1,6,Industrial,High,Good,Medium,1.5,Low,Playground,2.4,Occasional,Harassment
Commercial Street 2509,12.887453,77.696708,4,1,Commercial,High,Good,Low,4.6,High,Market,5.9,Occasional,Assault
HSR Layout 2510,12.986588,77.674184,3,6,Commercial,Moderate,Poor,Low,3.9,High,Park,9.5,Frequent,Robbery
HSR Layout 2511,12.924716,77.553606,4,20,Commercial,Low,Poor,Medium,0.5,Low,None,4.4,Rare,Robbery
MG Road 2512,12.967853,77.50427,2,38,Residential,Moderate,Poor,Low,1.9,Low,Playground,2.2,Rare,Assault
HSR Layout 2513,12.875025,77.681523,2,5,Mixed-use,Low,Moderate,Medium,4.0,High,Playground,6.3,Frequent,Robbery
Jayanagar 4th Block 2514,12.970841,77.645389,1,21,Commercial,Low,Good,Low,1.1,Low,Park,9.2,Frequent,Robbery
Whitefield Main Road 2515,12.985506,77.599609,3,12,Residential,Low,Moderate,High,4.3,Moderate,None,6.4,Frequent,Vandalism
Brigade Road 2516,12.890348,77.678516,1,8,Industrial,Low,Moderate,Low,4.6,Moderate,None,5.2,Rare,Assault
Whitefield Main Road 2517,12.868472,77.617696,3,23,Mixed-use,High,Good,High,4.7,High,Playground,5.0,Occasional,Theft
Brigade Road 2518,12.852094,77.556065,1,28,Mixed-use,High,Good,High,2.1,Moderate,Playground,3.7,Rare,Robbery
BTM Layout 2519,12.947714,77.574152,2,18,Residential,High,Poor,Medium,2.6,Moderate,Mall,2.1,Rare,Theft
Church Street 2520,12.889455,77.618768,5,21,Industrial,Moderate,Good,Low,3.1,High,Market,4.2,Rare,Robbery
MG Road 2521,12.885505,77.643711,4,46,Mixed-use,High,Poor,Medium,3.5,High,Park,4.9,Occasional,Theft
Bannerghatta Road 2522,12.873969,77.560962,4,25,Mixed-use,High,Good,Low,3.7,Moderate,Park,3.2,Rare,Theft
Commercial Street 2523,12.873706,77.648124,2,34,Commercial,Moderate,Poor,Low,3.8,High,Market,9.8,Frequent,Vandalism
MG Road 2524,12.868367,77.669515,2,0,Mixed-use,Low,Poor,Low,3.4,Moderate,Park,7.2,Frequent,Theft
Koramangala 1st Block 2525,12.8777,77.639639,4,28,Commercial,Low,Poor,High,4.0,High,Playground,6.9,Rare,Theft
Indiranagar 100 Feet Road 2526,12.937361,77.540119,3,14,Commercial,Low,Poor,Medium,2.8,High,Mall,3.6,Rare,Assault
Indiranagar 100 Feet Road 2527,12.973356,77.647055,5,1,Industrial,High,Poor,Medium,3.7,Moderate,Playground,7.2,Rare,Vandalism
MG Road 2528,12.968275,77.510484,4,41,Commercial,High,Good,Medium,4.0,Moderate,Playground,7.8,Occasional,Assault
Jayanagar 4th Block 2529,12.971272,77.517647,3,46,Industrial,Low,Moderate,Low,0.5,High,Mall,5.3,Rare,Robbery
Jayanagar 4th Block 2530,12.999879,77.508127,5,10,Commercial,Moderate,Poor,High,2.2,Low,Mall,7.6,Frequent,Assault
Jayanagar 4th Block 2531,12.952994,77.553853,5,4,Mixed-use,High,Moderate,High,3.3,Moderate,Market,7.6,Occasional,Harassment
HSR Layout 2532,12.982632,77.502754,4,21,Residential,Low,Poor,Low,1.7,Low,Park,7.9,Rare,Robbery
Indiranagar 100 Feet Road 2533,12.989703,77.611293,5,49,Mixed-use,Moderate,Poor,Medium,1.0,High,Park,7.4,Frequent,Assault
Church Street 2534,12.931289,77.569506,1,29,Residential,Moderate,Moderate,Medium,5.0,Low,Playground,3.3,Occasional,Harassment
MG Road 2535,12.854042,77.563826,3,14,Industrial,Low,Poor,High,2.5,High,Park,9.3,Frequent,Vandalism
MG Road 2536,12.893681,77.672407,4,7,Mixed-use,High,Good,Low,3.0,High,Playground,7.9,Occasional,Vandalism
Indiranagar 100 Feet Road 2537,12.892012,77.594107,1,31,Commercial,Low,Good,High,4.6,High,Park,9.8,Frequent,Theft
BTM Layout 2538,12.988014,77.662051,3,21,Industrial,Low,Poor,Low,1.8,Moderate,Playground,4.0,Occasional,Theft
Koramangala 1st Block 2539,12.924821,77.507923,4,0,Commercial,Low,Moderate,High,3.4,Low,Market,8.5,Occasional,Assault
Whitefield Main Road 2540,12.98138,77.68173,4,12,Residential,High,Poor,Medium,3.6,Moderate,Park,8.3,Rare,Robbery
Brigade Road 2541,12.868248,77.513907,4,18,Industrial,Moderate,Good,Low,0.6,High,None,4.0,Rare,Vandalism
MG Road 2542,12.941481,77.564367,4,32,Residential,Moderate,Good,High,3.1,Moderate,None,6.8,Rare,Vandalism
Indiranagar 100 Feet Road 2543,12.981659,77.605892,3,44,Residential,High,Good,Medium,3.1,High,Park,9.4,Rare,Theft
MG Road 2544,12.937605,77.605501,4,34,Residential,Moderate,Poor,Low,3.2,High,Mall,1.4,Frequent,Harassment
BTM Layout 2545,12.857647,77.656121,1,50,Industrial,Moderate,Poor,Medium,3.5,High,Park,7.2,Occasional,Theft
Church Street 2546,12.95839,77.642657,2,34,Industrial,High,Good,High,1.4,Low,Playground,2.3,Frequent,Theft
BTM Layout 2547,12.90909,77.59624,3,45,Industrial,High,Good,High,3.6,Moderate,Mall,4.6,Frequent,Vandalism
Koramangala 1st Block 2548,12.984844,77.67749,4,37,Residential,High,Poor,High,1.5,Low,Park,9.4,Frequent,Harassment
Brigade Road 2549,12.925494,77.660695,1,7,Commercial,Low,Poor,Medium,1.2,Moderate,Park,8.4,Rare,Theft
MG Road 2550,12.994508,77.568482,3,49,Mixed-use,Low,Good,Medium,3.4,Low,Mall,1.9,Occasional,Theft
Indiranagar 100 Feet Road 2551,12.914487,77.628018,1,6,Residential,Low,Good,Medium,3.8,Low,Playground,2.3,Rare,Assault
Jayanagar 4th Block 2552,12.980758,77.527009,1,9,Mixed-use,Moderate,Good,High,1.8,High,Playground,3.8,Rare,Assault
Commercial Street 2553,12.874084,77.669863,4,10,Industrial,Moderate,Moderate,Low,1.0,Low,Playground,6.2,Occasional,Theft
Jayanagar 4th Block 2554,12.906116,77.617838,5,18,Mixed-use,High,Moderate,Low,4.4,Moderate,Park,9.0,Occasional,Harassment
Whitefield Main Road 2555,12.91566,77.671011,1,11,Industrial,Moderate,Good,High,2.1,Low,Park,4.9,Rare,Robbery
Commercial Street 2556,12.94204,77.509162,5,34,Residential,Moderate,Poor,Low,4.9,High,None,4.8,Occasional,Assault
Brigade Road 2557,12.993766,77.627925,5,22,Commercial,Low,Poor,Low,1.8,Moderate,Market,9.5,Rare,Harassment
Church Street 2558,12.976587,77.662223,1,50,Residential,Moderate,Moderate,High,3.1,High,Market,5.9,Rare,Assault
MG Road 2559,12.962659,77.553672,4,28,Commercial,High,Moderate,High,3.6,High,Mall,2.4,Rare,Harassment
Jayanagar 4th Block 2560,12.952939,77.532817,4,29,Residential,Moderate,Moderate,Low,2.0,Moderate,Playground,7.2,Frequent,Assault
Brigade Road 2561,12.958279,77.522093,3,36,Industrial,Low,Good,Medium,3.4,High,None,4.3,Occasional,Theft
Commercial Street 2562,12.987496,77.642571,1,25,Commercial,Low,Poor,High,0.6,High,Park,2.1,Rare,Assault
HSR Layout 2563,12.960328,77.525679,5,21,Residential,High,Moderate,Low,1.1,Moderate,Market,4.6,Frequent,Vandalism
Jayanagar 4th Block 2564,12.936473,77.624956,5,40,Industrial,High,Poor,High,1.3,Moderate,Park,6.0,Occasional,Assault
Church Street 2565,12.994017,77.627768,2,15,Mixed-use,Low,Good,Medium,1.1,High,Mall,6.3,Occasional,Theft
MG Road 2566,12.883931,77.581595,3,29,Industrial,Moderate,Poor,Medium,4.6,High,Mall,9.8,Frequent,Harassment
Commercial Street 2567,12.855186,77.575136,2,50,Commercial,Low,Good,High,2.5,Moderate,Park,1.6,Frequent,Harassment
HSR Layout 2568,12.917778,77.677737,3,31,Industrial,Low,Moderate,High,2.7,High,Park,2.7,Occasional,Robbery
HSR Layout 2569,12.852935,77.528804,1,12,Mixed-use,High,Good,Low,1.4,Low,Park,8.8,Occasional,Theft
Commercial Street 2570,12.85711,77.514242,4,50,Mixed-use,Low,Good,High,4.7,Low,Market,4.9,Rare,Harassment
Brigade Road 2571,12.984284,77.670682,1,24,Commercial,Moderate,Poor,Medium,1.6,Low,Park,3.9,Rare,Vandalism
Brigade Road 2572,12.927288,77.613664,5,50,Industrial,High,Good,High,3.8,High,Market,1.4,Occasional,Harassment
Jayanagar 4th Block 2573,12.934209,77.670362,4,34,Mixed-use,Low,Poor,Medium,0.8,Low,Market,8.9,Rare,Theft
Jayanagar 4th Block 2574,12.888968,77.621686,4,27,Commercial,Low,Moderate,Low,3.3,Moderate,Market,4.2,Occasional,Theft
Church Street 2575,12.887964,77.657219,4,38,Commercial,Low,Poor,Medium,1.6,Low,Market,5.2,Occasional,Robbery
Church Street 2576,12.861701,77.618328,4,19,Commercial,Low,Poor,Medium,4.4,Low,Mall,8.8,Frequent,Robbery
BTM Layout 2577,12.919728,77.520145,3,3,Residential,High,Poor,Medium,4.9,Moderate,Market,1.7,Occasional,Theft
HSR Layout 2578,12.852375,77.642717,2,21,Mixed-use,High,Good,Medium,4.4,High,Mall,9.2,Frequent,Harassment
Jayanagar 4th Block 2579,12.911312,77.503026,4,9,Commercial,Low,Good,Medium,1.7,Low,Market,9.1,Rare,Vandalism
BTM Layout 2580,12.963684,77.517971,1,7,Mixed-use,Moderate,Good,High,2.0,Moderate,Park,8.4,Rare,Vandalism
Whitefield Main Road 2581,12.877259,77.509709,4,50,Mixed-use,Low,Moderate,High,2.1,High,None,6.1,Occasional,Vandalism
Koramangala 1st Block 2582,12.979344,77.651673,2,27,Mixed-use,Moderate,Good,High,4.8,High,Playground,3.3,Rare,Assault
MG Road 2583,12.935705,77.622346,3,30,Mixed-use,Low,Good,High,1.0,Moderate,Park,5.9,Frequent,Harassment
Bannerghatta Road 2584,12.987578,77.580325,2,50,Residential,Low,Good,High,3.6,Moderate,Playground,9.4,Frequent,Theft
Bannerghatta Road 2585,12.867718,77.537925,1,3,Industrial,Moderate,Poor,Low,0.5,Low,None,6.4,Frequent,Vandalism
Church Street 2586,12.899994,77.555074,3,26,Residential,High,Good,Low,3.4,Moderate,Park,4.2,Frequent,Vandalism
Bannerghatta Road 2587,12.901106,77.688075,4,26,Commercial,Moderate,Good,Low,1.4,Moderate,None,2.7,Occasional,Vandalism
Church Street 2588,12.918342,77.688615,2,11,Commercial,Moderate,Moderate,Medium,2.0,High,None,6.8,Occasional,Assault
Brigade Road 2589,12.966992,77.666076,3,37,Industrial,Low,Poor,High,3.8,Low,Market,7.0,Frequent,Assault
Commercial Street 2590,12.8602,77.667298,3,43,Industrial,Low,Moderate,High,2.5,Moderate,Mall,1.4,Rare,Robbery
BTM Layout 2591,12.985699,77.696424,3,22,Commercial,Moderate,Poor,Low,3.4,High,Park,3.2,Occasional,Robbery
Brigade Road 2592,12.852306,77.686922,2,1,Commercial,High,Poor,High,1.7,Low,Market,6.8,Rare,Harassment
Commercial Street 2593,12.97979,77.565898,4,42,Industrial,Moderate,Good,Low,4.6,Moderate,Playground,1.3,Occasional,Assault
HSR Layout 2594,12.928142,77.680066,5,27,Industrial,Low,Poor,Low,5.0,Low,Mall,3.9,Occasional,Robbery
Commercial Street 2595,12.890479,77.695593,2,6,Commercial,Moderate,Poor,High,1.4,High,Mall,6.7,Frequent,Theft
Indiranagar 100 Feet Road 2596,12.958407,77.566573,5,30,Mixed-use,Low,Poor,Low,1.4,High,None,6.5,Occasional,Harassment
HSR Layout 2597,12.971639,77.657404,3,30,Residential,Low,Moderate,Medium,1.1,High,Market,4.1,Frequent,Robbery
BTM Layout 2598,12.942381,77.615202,5,40,Commercial,Low,Good,High,4.7,Low,Playground,5.1,Occasional,Theft
Church Street 2599,12.945768,77.577122,3,39,Industrial,Low,Good,High,4.5,High,Market,7.0,Rare,Theft
MG Road 2600,12.987376,77.67849,4,8,Mixed-use,High,Good,Medium,1.8,High,Playground,3.8,Occasional,Vandalism
Commercial Street 2601,12.962687,77.500506,5,49,Residential,Low,Poor,Low,0.7,Moderate,Park,4.8,Frequent,Theft
Whitefield Main Road 2602,12.913347,77.688364,5,33,Residential,Moderate,Good,High,1.4,Low,Mall,3.6,Rare,Vandalism
BTM Layout 2603,12.935927,77.683228,3,33,Mixed-use,Moderate,Poor,Low,3.0,Low,None,3.7,Frequent,Robbery
Church Street 2604,12.972656,77.512845,2,38,Mixed-use,Moderate,Good,Low,2.1,Moderate,Playground,1.6,Frequent,Theft
Bannerghatta Road 2605,12.977361,77.54313,1,25,Commercial,Low,Moderate,High,1.7,Moderate,Park,8.1,Occasional,Assault
HSR Layout 2606,12.908875,77.566437,3,17,Residential,Moderate,Good,Low,1.1,High,Mall,5.9,Frequent,Theft
Bannerghatta Road 2607,12.851435,77.536074,4,15,Residential,High,Good,Medium,1.9,High,Market,4.2,Frequent,Assault
MG Road 2608,12.946221,77.560767,4,18,Commercial,High,Moderate,Medium,4.4,High,Market,8.3,Occasional,Robbery
Bannerghatta Road 2609,12.912535,77.539331,5,17,Residential,Low,Poor,Medium,4.6,Low,Playground,8.9,Frequent,Assault
MG Road 2610,12.956888,77.512634,4,50,Industrial,High,Good,Medium,2.7,Moderate,Playground,9.4,Rare,Harassment
Whitefield Main Road 2611,12.90804,77.693353,1,28,Residential,Low,Poor,High,1.7,Moderate,Mall,3.5,Frequent,Harassment
Whitefield Main Road 2612,12.964618,77.694997,2,18,Residential,Low,Poor,Low,4.4,Low,Park,3.8,Rare,Vandalism
Koramangala 1st Block 2613,12.999828,77.569763,1,32,Industrial,Low,Moderate,Low,2.8,High,Park,9.4,Frequent,Theft
Church Street 2614,12.937673,77.65272,2,48,Residential,High,Good,Medium,3.8,Moderate,Playground,9.6,Occasional,Vandalism
Koramangala 1st Block 2615,12.900237,77.664775,1,6,Residential,High,Poor,Medium,0.5,High,Park,6.0,Frequent,Robbery
BTM Layout 2616,12.954939,77.660737,4,27,Industrial,Low,Good,Medium,4.9,Moderate,Park,3.7,Rare,Theft
Koramangala 1st Block 2617,12.978604,77.627626,1,22,Commercial,High,Good,Low,2.1,Moderate,Mall,8.3,Occasional,Vandalism
Brigade Road 2618,12.855712,77.546801,4,50,Commercial,High,Moderate,Medium,4.6,Low,Market,3.2,Rare,Robbery
Jayanagar 4th Block 2619,12.922267,77.666581,4,23,Industrial,Low,Poor,Medium,4.0,High,None,4.2,Frequent,Robbery
Commercial Street 2620,12.92957,77.657061,1,44,Commercial,Low,Moderate,Low,3.7,Low,Market,9.2,Rare,Vandalism
HSR Layout 2621,12.937171,77.626039,4,18,Industrial,Moderate,Good,High,3.1,High,Market,5.0,Rare,Vandalism
Commercial Street 2622,12.888924,77.676052,4,40,Residential,Low,Moderate,Medium,3.1,High,Market,3.6,Rare,Robbery
Whitefield Main Road 2623,12.879776,77.553755,2,49,Industrial,Moderate,Poor,Medium,0.6,High,Mall,9.5,Frequent,Assault
MG Road 2624,12.864889,77.592597,5,27,Commercial,Moderate,Poor,Medium,3.1,Moderate,Market,9.4,Occasional,Assault
HSR Layout 2625,12.997186,77.536776,5,4,Mixed-use,Moderate,Good,Low,2.3,Low,Park,1.7,Occasional,Vandalism
Koramangala 1st Block 2626,12.884194,77.613739,3,35,Mixed-use,High,Poor,High,3.4,High,Mall,8.7,Rare,Vandalism
